chksm1(8);chksm2(8);Size(4);Type(3);Title(32);Region(7)
9deb1e2d;fde08d6d;0512;PCE;1943 Kai                        ;(Japan)
e6738b4e;73614660;0512;PCE;21 Emon - Mezase Hotel Ou!!     ;(Japan)
10fa4e94;b866d282;0512;PCE;AV Poker                        ;(Japan)
f2be1a5c;8e71d4f3;0256;PCE;Adventure Island                ;(Japan)
cdfab93d;25be2b81;0512;PCE;Aero Blasters                   ;(Japan)
689a14b4;b03e0b32;0512;PCE;Aero Blasters                   ;(USA)  
e1baaa7b;ca72a828;0512;PCE;After Burner II                 ;(Japan)
dd962718;933d5bcc;0512;PCE;Air Zonk                        ;(USA)  
0d973e47;60edf4e1;0256;PCE;Alien Crush                     ;(Japan)
dbf6f572;ea488494;0256;PCE;Alien Crush                     ;(USA)  
011b2360;cacc06fb;0256;PCE;Ankoku Densetsu                 ;(Japan)
2a26a732;08a09b9a;0384;PCE;Aoi Blink                       ;(Japan)
74d9a49d;2b54cba2;0256;PCE;Appare Gateball                 ;(Japan)
ee426818;20ef87fd;0256;PCE;Armed Formation F               ;(Japan)
6e58f62e;5e4fa713;0256;PCE;Artist Tool                     ;(Japan)
cd59a2f9;dd175efd;0512;PCE;Atomic Robo-Kid Special         ;(Japan)
a2a6b455;8acfc8aa;0256;PCE;Ballistix                       ;(Japan)
0904cca0;420fa189;0256;PCE;Ballistix                       ;(USA)  
1d480417;c267e25d;0384;PCE;Bari Bari Densetsu              ;(Japan)
209a9e7b;4a3df3ca;0512;PCE;Barunba                         ;(Japan)
d7460ef3;106bb7b2;0384;PCE;Batman                          ;(Japan)
e04efa28;59e44f45;0256;PCE;Battle Lode Runner              ;(Japan)
fb283f39;e70b01af;0512;PCE;Battle Royale                   ;(USA)  
14f1c8ab;e439f299;0256;PCE;Be Ball                         ;(Japan)
03fa1973;c9626a43;0384;PCE;Benkei Gaiden                   ;(Japan)
eff3833d;e1a73797;0384;PCE;Benkei Gaiden                   ;(Japan)
65df7af5;34893891;0256;PCE;Bikkuriman World                ;(Japan)
65df7af5;2841fd1e;0256;PCE;Bikkuriman World                ;(Japan)
e557fb86;b4a1b0f6;0384;PCE;Blazing Lazers                  ;(USA)  
25445e2a;958bcd09;0128;PCE;Blodia                          ;(Japan)
a242aa75;37baf6bc;0512;PCE;Bloody Wolf                     ;(USA)  
4124fc42;ffd92458;0512;PCE;Bodycon Quest II                ;(Japan)
8e85f3aa;02309aa0;0512;PCE;Bomberman '93                   ;(Japan)
f1277b38;b300c5d0;0512;PCE;Bomberman '93                   ;(Japan)
d23b78a8;56171c1c;0512;PCE;Bomberman '93                   ;(USA)  
2955233f;05362516;1024;PCE;Bomberman '94                   ;(Japan)
ff574d51;9abb4d1f;0256;PCE;Bomberman                       ;(Japan)
99379b70;5f6f3c2a;0256;PCE;Bomberman                       ;(USA)  
8fc3f07e;1489fa51;0256;PCE;Bomberman - Users Battle        ;(Japan)
85a5da5f;5a3f76d8;1024;PCE;Bonk III - Bonk's Big Adventure ;(USA)  
6841b85c;599ead9b;0384;PCE;Bonk's Adventure                ;(USA)  
950efeb4;14250f9a;0512;PCE;Bonk's Revenge                  ;(USA)  
f4a5b78f;8f4d9f94;0512;PCE;Bouken Danshaku Don - The Lost S;(Japan)
bff05de7;605be213;0128;PCE;Boxyboy                         ;(USA)  
8175c9e0;cca08b02;0512;PCE;Bravoman                        ;(USA)  
edb55a38;c9d7426a;0256;PCE;Break In                        ;(Japan)
ae79b23d;0d766139;0512;PCE;Bubblegum Crash! - Knight Sabers;(Japan)
ec1e00c0;5c4d1991;0384;PCE;Bull Fight - Ring no Haja       ;(Japan)
4d532aea;d233c05a;0384;PCE;Burning Angels                  ;(Japan)
8920d688;d0c250ca;0384;PCE;Busou Keiji - Cyber Cross       ;(Japan)
abe995b8;8dc0d85f;0384;PCE;Cadash                          ;(Japan)
1b485575;bb0b3aef;0512;PCE;Cadash                          ;(USA)  
a31120d5;9edc0aea;0384;PCE;Champion Wrestler               ;(Japan)
e737f353;15ee889a;0512;PCE;Champions Forever Boxing        ;(USA)  
6d48ad74;8cd13e9a;0256;PCE;Chew Man Fu                     ;(USA)  
a1a92cad;951ed380;0512;PCE;Chibi Maruko-chan - Quiz de Piih;(Japan)
594d75c0;84098884;0512;PCE;Chikudenya Toubei - Kubikiri Yak;(Japan)
594d75c0;cab21b2e;0512;PCE;Chikudenya Toubei - Kubikiri Yak;(Japan)
1574f097;a2ee361d;0256;PCE;China Warrior                   ;(USA)  
ac303d65;0df57c90;0512;PCE;Chouzetsu Rinjin - Bravoman     ;(Japan)
955a7dd2;c3212c24;0256;PCE;Circus Lido                     ;(Japan)
794abf31;f91b055f;0384;PCE;City Hunter                     ;(Japan)
7b52981b;99f7a572;0128;PCE;Columns                         ;(Japan)
