chksm1(8);chksm2(8);Size(4);Type(3);Title(48);Region(20)
6387f943;f0f35c22;0256;SMS;20 em 1                                         ;(Brazil)            
0958ab49;98af0236;0128;SMS;3 in 1 - The Best Game Collection               ;(A) (Korea) (En) (Un
c76d3938;6ebfe1c3;0128;SMS;3 in 1 - The Best Game Collection               ;(B) (Korea) (En) (Un
812942cd;81a36a4f;0128;SMS;3 in 1 - The Best Game Collection               ;(C) (Korea) (En) (Un
3612af79;8d2d695d;0128;SMS;3 in 1 - The Best Game Collection               ;(D) (Korea) (En) (Un
3672dea3;82c09b57;0128;SMS;3 in 1 - The Best Game Collection               ;(E) (Korea) (En) (Un
81a386f4;4088eeb4;0128;SMS;3 in 1 - The Best Game Collection               ;(F) (Korea) (En) (Un
56dcb2d4;56dcb2d4;0032;SMS;3D Gunner                                       ;(USA) (Beta)        
2f50e3af;a67f2a5c;1024;SMS;4 PAK All Action                                ;(Australia) (Unl)   
976b5e4f;fba94148;0256;SMS;8 in 1 - The Best Game Collection               ;(A) (Korea) (En) (Un
ed5c1e1b;8333c86e;0256;SMS;8 in 1 - The Best Game Collection               ;(B) (Korea) (En) (Un
8f19c7fd;00e9809f;0256;SMS;8 in 1 - The Best Game Collection               ;(C) (Korea) (En) (Un
22b87752;060d6a7c;0256;SMS;94 Super World Cup Soccer                       ;(Korea) (Unl)       
2b9c9c10;6fe448a5;0128;SMS;94-Nen Super Basketball                         ;(Taiwan) (En) (Unl) 
2c1c6952;887d9f6b;0256;SMS;Ace of Aces                                     ;(Europe  Brazil) (En
d0263024;d0263024;0032;SMS;Action Boy                                      ;(Taiwan) (En) (Unl) 
369e0786;e2d765ad;0128;SMS;Action Fighter                                  ;(Japan  Europe) (En)
2b4fc834;d91b340d;0128;SMS;Action Fighter                                  ;(Japan  Europe) (En)
15a87c1c;8418f438;0128;SMS;Action Fighter                                  ;(Taiwan) (Unl)      
b9b3a7cc;3658f3e0;0128;SMS;Action Fighter                                  ;(USA  Europe  Brazil
fc804bb6;72420f38;0256;SMS;Addams Family  The                              ;(Europe)            
5eae4b0b;ecf491cf;0256;SMS;Aerial Assault                                  ;(Europe  Brazil) (En
55dca705;6630e5fd;0256;SMS;Aerial Assault                                  ;(Taiwan) (En) (Unl) 
391bf4b6;15576613;0256;SMS;Aerial Assault                                  ;(USA)               
4a82ab1a;1c951f8e;0512;SMS;After Burner                                    ;(World)             
170cc723;4f1be9fa;0128;SMS;Agigongnyong Dooly                              ;(Korea) (Unl)       
95cbb6d0;8b43d21d;0256;SMS;Air Rescue                                      ;(Europe  Brazil) (En
eb5546a7;c8718d40;0512;SMS;Aladdin                                         ;(Europe  Brazil) (En
c6a25063;d8c4165b;0128;SMS;Aleste                                          ;(Japan)             
b54e8d67;2d7fabb2;0128;SMS;Alex Kidd - High-Tech World                     ;(USA  Europe  Brazil
e894bd73;013c0a94;0128;SMS;Alex Kidd - High-Tech World                     ;(USA  Europe  Brazil
6279652a;c13896d5;0256;SMS;Alex Kidd - The Lost Stars                      ;(World)             
7ed3c356;d7eed482;0512;SMS;Alex Kidd 3 - Curse in Miracle World            ;(France) (Aftermarke
fd0b24e2;42472435;0512;SMS;Alex Kidd 3 - Curse in Miracle World            ;(Germany) (Aftermark
3255607f;7369853e;0512;SMS;Alex Kidd 3 - Curse in Miracle World            ;(Portugal) (Aftermar
528b324d;97d77051;0512;SMS;Alex Kidd 3 - Curse in Miracle World            ;(Spain) (Aftermarket
3255607f;4c405d68;0512;SMS;Alex Kidd 3 - Curse in Miracle World            ;(World) (v1.1) (Afte
23b47565;17a40e29;0128;SMS;Alex Kidd in Miracle World                      ;(USA  Europe)       
b5e36086;aed9aac4;0128;SMS;Alex Kidd in Miracle World                      ;(USA  Europe  Brazil
1260a804;6f5f3daa;0128;SMS;Alex Kidd in Miracle World                      ;(World) (Ja) (Sega A
1759e500;50a8e8a7;0128;SMS;Alex Kidd in Miracle World                      ;(World) (Sega Ages) 
fe65e7d9;7de172ff;0512;SMS;Alex Kidd in Miracle World 2                    ;(World) (Unl)       
0e894e26;d2417ed7;0256;SMS;Alex Kidd in Shinobi World                      ;(USA  Europe  Brazil
4ce9a3a0;08c9ec91;0128;SMS;Alex Kidd no Miracle World                      ;(Japan)             
dcaebd2a;6f8e46cf;0128;SMS;Alex Kido                                       ;(Taiwan) (En) (Unl) 
b575a9bc;82038ad4;0128;SMS;Alf                                             ;(USA)               
08bf3de3;08bf3de3;0032;SMS;Alibaba and 40 Thieves                          ;(Korea) (En) (Unl)  
0305c631;b618b144;0256;SMS;Alien 3                                         ;(Europe  Brazil) (En
84764789;7f30f793;0256;SMS;Alien Storm                                     ;(Europe  Brazil) (En
f3a54533;4cc11df9;0256;SMS;Alien Syndrome                                  ;(Japan)             
398251eb;c148868c;0256;SMS;Alien Syndrome                                  ;(USA  Europe  Brazil
d3e5f5f9;5cbfe997;0256;SMS;Alien Syndrome                                  ;(USA  Europe  Brazil
f15e1327;5e4b454e;0128;SMS;Alocos                                          ;(Taiwan) (En) (Unl) 
f780fe57;bba2fe98;0256;SMS;Altered Beast                                   ;(USA  Europe  Brazil
30adef31;7b27202f;0256;SMS;American Baseball                               ;(Europe  Brazil) (En
94fa479a;3727d8b2;0256;SMS;American Pro Football                           ;(Europe)            
d0307f3b;f499034d;0256;SMS;Andre Agassi Tennis                             ;(Europe  Brazil) (En
9dcf39db;fff63b0b;0128;SMS;Anmitsu Hime                                    ;(Japan)             
18172415;e4163163;0256;SMS;Arcade Smash Hits                               ;(Europe)            
813f4112;bae75805;0128;SMS;Argos no Juujiken                               ;(Japan)             
0b6a66e2;f4b3a7bd;0256;SMS;Ariel - The Little Mermaid                      ;(Brazil) (En)       
9091d61a;9091d61a;0032;SMS;Arno Dash 2                                     ;(World) (v1.03) (Aft
950af3c4;ae705699;0128;SMS;Ashura                                          ;(Japan)             
b8897b26;0bd8da96;0256;SMS;Assault City                                    ;(Europe) (Joypad)   
b8897b26;861b6e79;0256;SMS;Assault City                                    ;(USA  Europe  Brazil
e6cc821b;8c9d5be8;0512;SMS;Asterix                                         ;(Europe  Brazil) (En
1e18ffa7;147e02fa;0512;SMS;Asterix                                         ;(Europe  Brazil) (En
c23c5edc;f9b7d26b;0512;SMS;Asterix and the Great Rescue                    ;(Europe  Brazil) (En
